City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,taoudenni,22.6783,-3.9836,29.9,11,30,4.9,ML,1713735161
143,enewetak,11.3474,162.3373,27.88,74,77,6.99,MH,1713735218
144,daru,-9.0763,143.2092,27.72,88,99,3.65,PG,1713735208
145,kourou,5.1552,-52.6478,27.03,95,100,0.77,GF,1713735205
146,acarau,-2.8856,-40.12,26.22,86,84,3.85,BR,1713735505
147,kuanda,56.3161,116.0806,-0.18,92,85,0.49,RU,1713735505
148,thompson,55.7435,-97.8558,5.09,24,20,1.54,CA,1713735505
149,vila franca do campo,37.7167,-25.4333,18.27,99,100,2.15,PT,1713734741
150,lorengau,-2.0226,147.2712,28.8,69,32,2.26,PG,1713735505
151,enshi,30.3,109.4833,15.46,90,97,1.0,CN,1713735505
152,vorgashor,67.5833,63.95,-22.89,96,12,3.31,RU,1713735411
153,wabag,-5.4781,143.7021,15.75,89,42,0.45,PG,1713735506
154,vadso,70.0744,29.7487,-1.91,64,75,7.72,NO,1713734965
155,longyearbyen,78.2186,15.6401,1.91,69,75,4.63,SJ,1713735159
156,cadale,2.7603,46.3222,26.73,76,100,4.15,SO,1713735506
157,antalaha,-14.9003,50.2788,24.58,91,24,2.02,MG,1713735506
158,puerto baquerizo moreno,-0.9,-89.6,29.55,70,20,4.12,EC,1713735506
159,mar del plata,-38.0023,-57.5575,15.61,55,0,5.14,AR,1713735344
160,guerrero negro,27.9769,-114.0611,19.43,63,30,7.67,MX,1713735507
161,saipan,15.1355,145.701,28.39,74,40,5.14,MP,1713735286
162,carnarvon,-24.8667,113.6333,22.28,48,0,7.62,AU,1713735126
163,hawaiian paradise park,19.5933,-154.9731,24.37,92,100,2.06,US,1713735511
164,hobart,-42.8794,147.3294,10.92,88,0,4.63,AU,1713735512
165,al jawf,29.5,38.75,22.05,22,3,5.76,SA,1713735513
166,al ghayzah,16.2079,52.176,27.51,77,4,4.69,YE,1713735309
167,hangu,39.2489,117.7892,13.02,78,0,2.59,CN,1713735514
168,mangrol,21.1167,70.1167,25.58,69,60,5.61,IN,1713735514
169,caleta de carquin,-11.0925,-77.6267,22.08,80,49,3.73,PE,1713735417
170,howard springs,-12.497,131.047,22.95,67,92,2.89,AU,1713735246
171,maba,24.6841,113.5984,19.99,24,100,0.64,CN,1713735517
172,dhuusamarreeb,5.535,46.3861,25.96,74,100,2.92,SO,1713735518
173,san antonio de pale,-1.4014,5.6325,28.99,81,70,2.85,GQ,1713735520
174,santa elena de uairen,4.6167,-61.1333,24.01,61,94,2.21,VE,1713735520
175,pabna,24.0,89.25,27.89,79,36,3.8,BD,1713735520
176,port macquarie,-31.4333,152.9167,17.16,67,98,3.84,AU,1713735520
177,geraldton,-28.7667,114.6,13.23,82,0,3.6,AU,1713735086
178,sosnovo-ozerskoye,52.5249,111.5418,1.21,77,100,3.01,RU,1713735521
179,el porvenir,13.7617,-87.3458,32.63,51,92,3.36,HN,1713735522
180,crane,31.3974,-102.3501,15.57,52,100,5.16,US,1713735529
181,huilong,31.8111,121.655,13.42,88,100,1.25,CN,1713735163
182,oeiras do para,-2.0031,-49.8544,24.82,95,100,0.81,BR,1713735464
183,polyarnyy,69.1989,33.4478,-12.31,86,76,2.56,RU,1713735529
184,touros,-5.1989,-35.4608,26.52,87,100,4.36,BR,1713735459
185,suriapet,17.15,79.6167,28.74,62,100,3.56,IN,1713735529
186,viedma,-40.8135,-62.9967,11.7,52,80,2.46,AR,1713735537
187,badger,64.8,-147.5333,12.14,33,0,0.0,US,1713734966
188,metlili chaamba,32.2667,3.6333,17.52,39,0,8.23,DZ,1713735539
189,tralee,52.2704,-9.7026,9.48,90,92,1.1,IE,1713735539
190,sao joao da barra,-21.6403,-41.0511,22.05,66,8,3.85,BR,1713735539
191,ta`u,-14.2336,-169.5144,28.99,75,83,7.13,AS,1713734975
192,pamandzi,-12.7967,45.2794,27.88,83,0,3.09,YT,1713735539
193,usinsk,65.9939,57.5281,-18.29,91,9,4.92,RU,1713735162
194,san ignacio,17.1561,-89.0714,38.08,41,20,3.09,BZ,1713735547
195,villa emilio carranza,19.9667,-96.6,27.56,83,26,5.37,MX,1713735383
196,san ignacio de velasco,-16.3667,-60.95,25.68,81,16,1.97,BO,1713735548
197,zouerate,22.7187,-12.4521,24.87,20,0,4.27,MR,1713735549
198,arteche,12.2645,125.4048,25.93,92,57,2.59,PH,1713735549
199,ponta delgada,37.7333,-25.6667,18.44,94,40,4.12,PT,1713735240
200,minas de marcona,-15.2119,-75.1103,19.35,70,8,6.44,PE,1713735549
201,magadan,59.5667,150.8,-3.04,83,22,0.1,RU,1713735550
202,muscat,23.6139,58.5922,26.01,68,0,1.29,OM,1713735290
203,saint john,45.2727,-66.0677,8.57,66,75,7.72,CA,1713735446
204,port blair,11.6667,92.75,26.02,89,20,1.03,IN,1713735553
205,invercargill,-46.4,168.35,8.9,89,91,8.05,NZ,1713735553
206,port lincoln,-34.7333,135.8667,14.39,69,0,3.26,AU,1713735516
207,wad az zaki,14.4619,32.2065,32.43,12,74,4.65,SD,1713735554
208,enriquillo,17.9,-71.2333,31.82,61,25,3.36,DO,1713735554
209,kingston,17.997,-76.7936,30.09,70,20,7.72,JM,1713735361
210,saint-francois,46.4154,3.9054,2.69,94,0,2.06,FR,1713735186
211,farafangana,-22.8167,47.8333,23.49,85,70,2.53,MG,1713735158
212,susuman,62.7833,148.1667,-13.9,99,96,0.89,RU,1713735361
213,talnakh,69.4865,88.3972,-17.11,99,98,1.8,RU,1713735554
214,westport,41.1415,-73.3579,11.05,40,20,5.14,US,1713735186
215,sao jose da coroa grande,-8.8978,-35.1478,27.0,83,63,3.41,BR,1713735555
216,san benito abad,8.929,-75.0271,27.49,77,100,4.03,CO,1713735555
217,cockburn town,21.4612,-71.1419,26.98,61,40,8.23,TC,1713735195
218,devils lake,48.1128,-98.8651,16.06,21,0,6.26,US,1713735555
219,boundiali,9.5217,-6.4869,25.57,74,100,3.65,CI,1713735555
220,sinop,41.7711,34.8709,7.9,77,15,4.08,TR,1713735510
221,bayville,40.9106,-73.5621,11.42,41,100,2.24,US,1713735556
222,nagqu,31.5,92.0,-1.03,46,98,1.74,CN,1713735187
223,sandnessjoen,66.0217,12.6316,3.06,32,0,1.03,NO,1713735556
224,callao,-12.0667,-77.15,24.16,69,0,5.66,PE,1713735306
225,sooke,48.3746,-123.7276,15.13,65,16,8.23,CA,1713735556
226,phu kradueng,16.8843,101.8847,28.07,42,11,2.47,TH,1713735556
227,zhigalovo,54.8097,105.1578,0.55,91,100,2.17,RU,1713735556
228,christchurch,-43.5333,172.6333,15.51,83,40,5.14,NZ,1713735435
229,alfeld,51.9838,9.8199,5.45,79,46,1.58,DE,1713735557
230,dar kulayb,26.0686,50.5039,27.09,64,38,6.62,BH,1713735557
231,linkoping,58.4109,15.6216,0.21,67,100,5.66,SE,1713735557
232,shipunovo,52.1582,82.2173,10.35,58,32,3.99,RU,1713735557
233,chibougamau,49.9168,-74.3659,-7.21,63,100,6.69,CA,1713735551
234,huarmey,-10.0681,-78.1522,22.38,79,87,3.68,PE,1713735248
235,ukhta,63.5671,53.6835,-3.58,93,52,2.24,RU,1713735557
236,jayapura,-2.5333,140.7,26.66,86,85,1.78,ID,1713735558
237,karratha,-20.7377,116.8463,22.68,38,0,2.86,AU,1713735558
238,diego de almagro,-26.3667,-70.05,21.95,38,6,3.65,CL,1713735558
239,sola,-13.8833,167.55,28.51,79,97,3.5,VU,1713735247
240,pisco,-13.7,-76.2167,25.03,69,0,7.72,PE,1713735558
241,mermoz boabab,14.7065,-17.4758,21.31,88,20,2.06,SN,1713735558
242,tura,25.5198,90.2201,23.91,95,37,3.12,IN,1713735558
243,egilsstadir,65.2653,-14.3948,6.95,42,0,7.72,IS,1713735558
244,banikoara,11.2985,2.4386,27.89,60,100,5.56,BJ,1713735559
245,aswan,24.0934,32.907,26.34,18,0,3.87,EG,1713735559
246,severo-yeniseyskiy,60.3725,93.0408,-5.79,97,100,1.34,RU,1713735562
247,medina,24.4686,39.6142,30.24,10,0,6.69,SA,1713735466
248,arkalyk,50.2486,66.9114,15.52,59,0,4.22,KZ,1713735300
249,remire-montjoly,4.9167,-52.2667,27.02,89,0,1.54,GF,1713735308
250,ribeira grande,38.5167,-28.7,15.43,75,100,2.24,PT,1713734967
251,miyako,39.6367,141.9525,10.62,72,65,0.26,JP,1713735563
252,nyurba,63.2842,118.3319,0.17,95,100,1.94,RU,1713734966
253,xilitla,21.3333,-98.9667,21.83,85,96,2.08,MX,1713735563
254,nuuk,64.1835,-51.7216,1.34,100,100,17.49,GL,1713734856
255,campos altos,-19.6961,-46.1714,16.0,80,0,1.43,BR,1713735317
256,sabratah,32.7933,12.4885,16.98,85,100,7.04,LY,1713735565
257,baoding,38.8511,115.4903,13.33,52,3,0.8,CN,1713735326
258,ouadda,8.0777,22.4007,27.02,48,99,1.3,CF,1713735566
259,flying fish cove,-10.4217,105.6791,24.82,100,100,3.6,CX,1713735566
260,cambridge,43.3601,-80.3127,9.57,48,75,9.26,CA,1713735566
261,tajerouine,35.8917,8.5528,9.65,70,80,3.03,TN,1713735567
262,el granada,37.5027,-122.4694,30.32,67,20,6.17,US,1713735355
263,hami,42.8,93.45,13.62,13,51,9.74,CN,1713735025
264,mokhsogollokh,61.4681,128.9203,-4.32,96,79,2.62,RU,1713735204
265,lihue,21.9789,-159.3672,26.58,68,75,6.69,US,1713734987
266,tazovsky,67.4667,78.7,-24.96,100,91,3.2,RU,1713735117
267,ilulissat,69.2167,-51.1,7.01,53,75,6.17,GL,1713735202
268,horodnye,45.8908,28.8483,8.79,81,32,3.25,UA,1713735568
269,thunder bay,48.4001,-89.3168,10.99,17,20,7.2,CA,1713735412
270,burang,30.25,81.1667,-1.05,63,32,2.56,CN,1713735568
271,nyagan,62.1406,65.3936,-1.39,90,16,3.65,RU,1713735568
272,psachna,38.5833,23.6333,17.07,66,1,1.69,GR,1713735568
273,margate,51.3813,1.3862,8.16,67,7,3.58,GB,1713735569
274,lepsy,46.235,78.9456,12.08,51,0,7.16,KZ,1713735570
275,kattivakkam,13.2167,80.3167,30.06,89,65,4.33,IN,1713735570
276,lobito,-12.3481,13.5456,26.36,87,11,0.58,AO,1713735570
277,bokovskaya,49.229,41.8306,14.36,72,100,4.1,RU,1713735571
278,erenhot,43.6475,111.9767,4.16,66,51,3.66,CN,1713735574
279,charlestown,-32.95,151.6667,18.18,93,88,1.34,AU,1713735347
280,dryden,49.7833,-92.7503,10.16,37,0,5.14,CA,1713735214
281,vung tau,10.346,107.0843,27.42,74,7,4.11,VN,1713735575
282,lompoc,34.6391,-120.4579,23.8,68,0,5.14,US,1713735575
283,olyokminsk,60.3736,120.4264,0.86,91,89,2.47,RU,1713735125
284,papao,-17.75,-149.55,25.82,71,59,0.96,PF,1713735582
285,tofol,5.3248,163.0078,28.17,81,80,7.9,FM,1713735582
286,st. john's,47.5649,-52.7093,7.04,94,100,9.77,CA,1713735442
287,ivdel',60.6911,60.4206,6.77,81,34,0.89,RU,1713735583
288,tottori,35.5,134.2333,14.04,94,75,5.14,JP,1713735422
289,rosarito,32.3333,-117.0333,25.35,75,29,3.21,MX,1713735583
290,miasskoye,55.2784,61.8905,14.37,69,96,3.9,RU,1713735583
291,richards bay,-28.783,32.0377,21.41,94,3,1.79,ZA,1713735583
292,alofi,-19.0595,-169.9187,27.94,74,75,4.12,NU,1713735119
293,la ronge,55.1001,-105.2842,14.14,14,40,3.09,CA,1713735586
294,port mathurin,-19.6833,63.4167,26.91,81,100,7.73,MU,1713735587
295,sagaing,21.8787,95.9797,29.69,41,10,3.08,MM,1713735587
296,usogorsk,63.4106,48.6872,-3.52,96,91,1.48,RU,1713735587
297,linkou,45.3,130.2833,9.19,77,100,1.46,CN,1713735587
298,saint-philippe,-21.3585,55.7679,23.39,87,7,1.9,RE,1713735587
299,kokshetau,53.2775,69.3883,15.72,83,9,2.42,KZ,1713735587
300,terekli-mekteb,44.1671,45.8698,16.96,80,100,4.44,RU,1713735588
301,samana,19.2056,-69.3369,29.12,74,20,4.12,DO,1713735589
302,sur,22.5667,59.5289,26.73,74,0,3.32,OM,1713735142
303,nar'yan-mar,67.6713,53.087,-23.83,100,46,2.24,RU,1713735589
